geracao,n_eval,n_frente,f1_min,f2_min,W0_min_kgf,Wf_min_kgf,n_viaveis
235,23500,1,0.9660569130727606,0.9111336666118669,276836.46099845803,99596.84926778138,1
236,23600,1,0.9660569130727606,0.9111336666118669,276836.46099845803,99596.84926778138,1
237,23700,1,0.9659658186029522,0.9109956052253342,276810.35666620074,99581.75765212928,1
238,23800,1,0.965900309116402,0.910846742080111,276791.5840512823,99565.48528641652,1
239,23900,1,0.9658960602064346,0.9108410273706693,276790.3664696031,99564.86060633308,1
240,24000,1,0.9658344325440077,0.910748381189376,276772.70624303154,99554.73336804562,1
241,24100,1,0.9658344325440077,0.910748381189376,276772.70624303154,99554.73336804562,1
242,24200,2,0.9657618910276643,0.9106900193233702,276751.91850642074,99548.3537794248,2
243,24300,3,0.9657568367010384,0.9106705566073285,276750.4701218826,99546.22629224375,3
244,24400,2,0.9657568367010384,0.9106680808540811,276750.4701218826,99545.95566540596,2
245,24500,3,0.9657532958115103,0.9106639358855866,276749.45543287985,99545.50257513225,3
246,24600,1,0.9657206463303785,0.9105384068720307,276740.0992896882,99531.78088456149,1
247,24700,1,0.9657168757016968,0.9105363704996569,276739.01876587456,99531.55828684637,1
248,24800,1,0.9657168757016968,0.9105363704996569,276739.01876587456,99531.55828684637,1
249,24900,1,0.965711312386634,0.910528114790999,276737.42452392814,99530.65584782898,1
250,25000,3,0.9656715238226882,0.9105241413479775,276726.02258157684,99530.22150716066,3
251,25100,2,0.9656528459875042,0.9105174617085559,276720.67019941227,99529.49134970405,2
252,25200,2,0.9656528459875042,0.9105174617085559,276720.67019941227,99529.49134970405,2
253,25300,3,0.9656528459875042,0.9105174617085559,276720.67019941227,99529.49134970405,3
254,25400,4,0.9656528459875042,0.9105127112838993,276720.67019941227,99528.97207646698,4
255,25500,6,0.9656525857240972,0.9105120475224617,276720.59561747045,99528.89952010091,6
256,25600,8,0.9656525857240972,0.9105089058964885,276720.59561747045,99528.5561061102,8
257,25700,2,0.9656433707563458,0.9105005203257803,276717.95494586404,99527.63947175407,2
258,25800,7,0.9656433707563458,0.9105005203257803,276717.95494586404,99527.63947175407,7
259,25900,4,0.9656322627369698,0.9105005203257803,276714.77179512917,99527.63947175407,4
260,26000,2,0.9656321480739879,0.9104998589456763,276714.73893692624,99527.56717569375,2
261,26100,3,0.9656317825984025,0.9104917897281715,276714.6342050349,99526.68512219381,3
262,26200,4,0.9656317825984025,0.9104917897281715,276714.6342050349,99526.68512219381,4
263,26300,6,0.9656317384888923,0.9104903660401255,276714.6215648679,99526.52949755946,6
264,26400,2,0.9656300761246988,0.910488801802553,276714.14519229194,99526.3585093286,2
265,26500,1,0.9656195508437339,0.9104883134655802,276711.1290330016,99526.30512877024,1
266,26600,2,0.9656195508437339,0.9104876870027331,276711.1290330016,99526.23664954699,2
267,26700,1,0.965611542005241,0.9104743941410277,276708.8339937808,99524.7835947515,1
268,26800,1,0.965611542005241,0.9104743941410277,276708.8339937808,99524.7835947515,1
269,26900,1,0.9656008002108856,0.9104588988433278,276705.75578969787,99523.08978967553,1
270,27000,1,0.9656006415262587,0.9104586583421943,276705.71031650685,99523.06350027805,1
271,27100,2,0.9655968020359643,0.9104586583421943,276704.6100594819,99523.06350027805,2
272,27200,3,0.9655968020359643,0.9104433480787277,276704.6100594819,99521.38992146232,3
273,27300,3,0.9655951445899201,0.9104433480787277,276704.13509626704,99521.38992146232,3
274,27400,5,0.9655923554915244,0.9104417682501432,276703.3358430152,99521.21722896377,5
275,27500,5,0.965591798596147,0.9104417682501432,276703.17625723575,99521.21722896377,5
276,27600,6,0.9655916281527905,0.9104417682501432,276703.1274144244,99521.21722896377,6
277,27700,1,0.9655792449445614,0.9104250391766024,276699.57884135837,99519.38855872922,1
278,27800,1,0.9655792449445614,0.9104250391766024,276699.57884135837,99519.38855872922,1
279,27900,2,0.9655792449445614,0.9104159490612357,276699.57884135837,99518.39490995607,2
280,28000,2,0.9655759560279897,0.9104159490612357,276698.63635855855,99518.39490995607,2
281,28100,3,0.9655759560279897,0.9104159490612357,276698.63635855855,99518.39490995607,3
282,28200,6,0.965572354996128,0.910412726435369,276697.60443496995,99518.04264179339,6
283,28300,1,0.9655711355978864,0.9103905617315659,276697.25500018074,99515.61979787417,1
284,28400,1,0.9655711355978864,0.9103905617315659,276697.25500018074,99515.61979787417,1
285,28500,1,0.9655693186061935,0.9103865110110458,276696.7343170376,99515.17700993225,1
286,28600,1,0.9655662663677429,0.9103813330923561,276695.8596575022,99514.61100693383,1
287,28700,2,0.9655654270710172,0.9103790144201411,276695.6191458593,99514.35755076646,2
288,28800,4,0.9655607802681416,0.9103790144201411,276694.28754267364,99514.35755076646,4
289,28900,1,0.9655569125768143,0.9103628116083397,276693.17920426745,99512.58640668097,1
290,29000,1,0.9655568859930679,0.9103626842234624,276693.1715863413,99512.57248212426,1
291,29100,2,0.9655568859930679,0.9103615341656113,276693.1715863413,99512.4467682552,2
292,29200,2,0.9655519081904625,0.9103518631195414,276691.7451307793,99511.38961741887,2
293,29300,3,0.9655438828098435,0.9103480606916041,276689.44535119215,99510.97397056484,3
294,29400,3,0.9655438828098435,0.9103462393567604,276689.44535119215,99510.77487879759,3
295,29500,3,0.9655438828098435,0.910344476245338,276689.44535119215,99510.58215148543,3
296,29600,1,0.965538768877887,0.9103351492122774,276687.97988595354,99509.56260502382,1
297,29700,1,0.9655345618658111,0.9103289273220766,276686.7743106725,99508.88248455062,1
298,29800,1,0.9655345618658111,0.9103289273220766,276686.7743106725,99508.88248455062,1
299,29900,1,0.9655345618658111,0.9103289273220766,276686.7743106725,99508.88248455062,1
