caso,rotulo,eps_kgf,W0_kgf,Wf_kgf,b_w,g_min,viavel,n_objfun,tempo_s,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Cvt,x_mlg,y_mlg,z_lg
letraF,letra F (teto relaxado),98992.694540081,276796.2908675195,98992.69454008146,65.03958483893808,-4.8183679268731794e-14,True,70,0.7077152729034424,True,389.00874886140593,10.874170846806633,0.6078604026985613,18.722554852446365,0.7,0.06471793898299943,32.24819397751397,6.9499999999999975,-5.669304906296143
letraF,letra F (teto relaxado),99004.44331228959,276789.8503144146,99004.44331228976,64.98917653462561,-2.4424906541753444e-15,True,70,0.7173850536346436,True,388.881045671765,10.860886930996518,0.6085990908867288,18.711256086380676,0.7,0.06473376180267183,32.24741165497809,6.95,-5.669442850866836
letraF,letra F (teto relaxado),99016.1920844982,276784.499508132,99016.19208449824,64.94093094122368,-2.19824158875781e-14,True,70,0.7829108238220215,True,388.7597381622201,10.848151435252266,0.6093078351658767,18.700390943604486,0.7,0.06474862682488151,32.24666106596049,6.949999999999998,-5.669575199962062
letraF,letra F (teto relaxado),99027.94085670679,276780.11439887126,99027.94085670674,64.89460235418252,-2.220446049250313e-16,True,61,0.6784262657165527,True,388.6440988833287,10.835902119207814,0.6099900315800899,18.68991018853765,0.7,0.0647626427354438,32.245938601917395,6.95,-5.669702589865452
letraF,letra F (teto relaxado),99039.68962891538,276776.59276920836,99039.6896289154,64.84998829273033,-8.43769498715119e-15,True,61,0.643625020980835,True,388.53352838227977,10.82408768962001,0.6106484789619535,18.679773245956838,0.7,0.0647758991102704,32.24524128918122,6.949999999999998,-5.669825544914832
letraF,letra F (teto relaxado),99051.43840112399,276773.8492066892,99051.43840489398,64.8069195379285,-3.424016625785953e-11,True,60,0.601783037185669,True,388.4275257008117,10.8126652775647,0.6112855165518559,18.669946205128557,0.7,0.0647884708186478,32.24456664263036,6.949999999999998,-5.66994450330417
letraF,letra F (teto relaxado),99063.18717333258,276771.811479316,99063.18717435242,64.76525300815307,-9.32387500540699e-12,True,60,0.6168148517608643,True,388.3256672749068,10.801598634067746,0.6119031224291728,18.660400392332846,0.7,0.06480042117289869,32.24391256104473,6.9499999999999975,-5.6700598355353184
letraF,letra F (teto relaxado),99074.93594554118,276770.4178453645,99074.93594577724,64.72486634116429,-2.1628254742722675e-12,True,60,0.605093240737915,True,388.2275908926993,10.790856758141768,0.6125029883542199,18.651111285455514,0.7,0.06481180432274604,32.24327724751323,6.95,-5.67017185845213
letraF,letra F (teto relaxado),99086.68471774978,276769.61504474096,99086.6847177912,64.68565399841724,-3.758104938356155e-13,True,60,0.6065139770507812,True,388.1329841557155,10.780412910035684,0.613086573598444,18.642057733388967,0.7,0.06482266697818233,32.24265915222548,6.95,-5.670280845328011
letraF,letra F (teto relaxado),99098.43348995838,276769.3567505481,99098.4334682061,64.64752423863088,-5.0959236830294685e-14,True,60,0.6045181751251221,True,388.04157547780716,10.770243845748404,0.613655146680213,18.633221351874,0.7,0.06483304975911287,32.24205692808749,6.95,-5.670387033691973
